url,external category,iprism comment,fortigate category,fortigate subcategory
https://*.google.com/drive,ld,,,
http://player.vcloud.it.best-tv.com,ld,,,
http://www.mydailyviral.com,ld,,,
*://*.tidaltv.com,ld,,,
*://208.69.32.26,ld,,,
https://watson.microsoft.com,l9,,,
https://*.update.microsoft.com,l9,,,
http://*.rantsports.com,ld,,,
http://*.mailchimp.com,ld,,,
*://*.onlineschool.com,ld,,,
*://youtu.be,l1,,,
*://*.youtube-nocookie.com,l1,,,
*://crabtree-valley-mall.com,ld,,,
http://*.ds.serving-sys.com,ld,,,
*://*.freecoloringpages.co.uk,ld,,,
*://*.bestcleardownloads.com,ld,,,
*://*.faithishere.org,ld,,,
*://*.ourfitfamily.org,ld,,,
*://*.tr553.com,ld,,,
*://*.vegrecipesofindia.com,ld,,,
*://*.247inc.net,ld,,,
*://*.cotapmail.com,ld,,,
*://*.sophosupd.net/,la,,,
http://*.viralnova.com/,ld,,,
http://d1.sophosupd.com/,la,,,
*://*.logmein.com,l10,,,
*://*.adnxs.com,ld,,,
*://*.doubleclick.net,ld,,,
*://*.googlesyndication.com,ld,,,
http://*.hensleyfab.com,ld,,,
http://*.askmefast.com,ld,,,
http://*.lporirxe.com,ld,,,
*://*.lporirxe.com,ld,,,
*://*.doubleverify.com,ld,,,
*://t4.liverail.com,ld,,,
http://*.safedownloadsrus.com,ld,,,
http://*.safedownloadsrus136.com,ld,,,
http://*.soilfinisher.com,othm,,,
*://*.exelator.com,ld,,,
http://quu.nu,ld,,,
http://sync.sniperlog.ru,ld,,,
http://www.purplemath.com,ld,,,
*://104.238.141.75,ld,,,
*://104.238.136.31,ld,,,
*://205.234.186.115,ld,,,
*://*.icanhazip.com,othm,,,
*://185.53.177.6,ld,,,
http://*.shopathome.com/toolbar_iframe_install_dlxpixel.aspx,ld,,,
http://*.sahcdn.com/js/toolbar,ld,,,
http://toolbar.shopathome.com/install,ld,,,
*://*.coupon.com,ld,,,
*://*.google.com/docs/,ld,,,
*://*.74.63.145.172,ld,,,
*://104.28.28.101,ld,,,
